address,neighbourhood,district,sqft_surface,bedrooms,bathrooms,new_construction,latitude,longitude,price
calle de Torres,Nou Moles ,L'Olivereta,81.0,3,2,None,39.4737349,-0.3988977,89000.0
calle de Juan de Celaya,La Creu Coberta ,Jesús,75.0,4,1,None,39.4516642,-0.38596290000000005,65000.0
Pobles del Sud ,El Saler ,Pobles del Sud,69.0,2,1,None,39.4282661,-0.3581993,125000.0
Carrer de Lleida,Marxalenes ,La Saïdia,60.0,3,1,None,39.4837445,-0.3771311,85000.0
Avinguda de Tres Forques,Tres Forques ,L'Olivereta,75.0,2,2,None,39.4637178,-0.4053235,96000.0
Pobles del Sud ,El Perellonet ,Pobles del Sud,76.0,2,1,None,39.4282661,-0.3581993,120000.0
calle de Ramiro de Maeztu,Aiora ,Camins al Grau,90.0,3,1,None,39.466581700000006,-0.3452626,125000.0
Carrera de la Fonteta de Sant Lluís,En Corts ,Quatre Carreres,79.0,2,1,None,39.449060700000004,-0.368874,88000.0
calle del Pintor Stolz,Nou Moles ,L'Olivereta,79.0,3,1,None,39.469999,-0.4025462,89000.0
Avenida de la Constitución,Sant Antoni ,La Saïdia,93.0,3,1,None,39.4860601,-0.37824990000000003,99000.0
Carrer del Periodista Gil Sumbiela,Benicalap ,Benicalap,60.0,2,1,None,39.4934831,-0.3898259,48000.0
calle de Carrícola,L'Hort de Senabre ,Jesús,65.0,2,1,None,39.4518126,-0.3871348,65000.0
calle de Manzanera,Trinitat ,La Saïdia,70.0,3,1,None,39.4849351,-0.36705279999999996,98000.0
Pobles del Sud ,El Perellonet ,Pobles del Sud,97.0,2,2,None,39.4282661,-0.3581993,130000.0
Carrer de la Florista,Benicalap ,Benicalap,74.0,3,2,None,39.490300399999995,-0.39161399999999996,110000.0
Carrer del Comte de Torrefiel,Torrefiel ,Rascanya,77.0,3,1,None,39.4923599,-0.37565370000000003,90000.0
calle de Daroca,Orriols ,Rascanya,65.0,2,1,None,39.496042700000004,-0.36878829999999996,48000.0
Carrer de Juan Ramón Jiménez,Malilla ,Quatre Carreres,1.0,1,1,None,39.4484881,-0.3715723,125000.0
Avinguda de Burjasot,Ciutat Fallera ,Benicalap,67.0,3,1,None,39.4885349,-0.3894175,87000.0
calle del Pintor Maella,La Creu del Grau ,Camins al Grau,76.0,2,2,None,39.4637156,-0.3463579,82000.0
calle del Ceramista Ros,Vara de Quart ,Patraix,81.0,3,1,None,39.4634539,-0.403516,114000.0
Carrer del Comte de Torrefiel,Torrefiel ,Rascanya,60.0,3,1,None,39.4923599,-0.37565370000000003,65000.0
calle de Joaquín Navarro,L'Hort de Senabre ,Jesús,75.0,2,1,None,39.4530162,-0.38808909999999996,79500.0
calle de la Democracia,Nou Moles ,L'Olivereta,71.0,3,1,None,39.4726907,-0.4073637,85000.0
Camino Viejo de Chirivella,Soternes ,L'Olivereta,71.0,3,1,None,39.4695131,-0.41647510000000004,59000.0
calle de Francisco Falcons,Natzaret ,Poblats Marítims,78.0,3,1,None,39.446329399999996,-0.33460409999999996,75800.0
calle de Fuerteventura,La Malva-rosa ,Poblats Marítims,80.0,3,2,None,39.4813833,-0.3284243,125000.0
calle de Juan Castelló,Tormos ,La Saïdia,90.0,3,1,None,39.490202200000006,-0.3764105,129000.0
Carrer de l'Escultor Piquer,Torrefiel ,Rascanya,105.0,4,2,None,39.4921541,-0.37657579999999996,130500.0
Carrer de les Acàcies,Benicalap ,Benicalap,67.0,3,1,None,39.490992,-0.3882599,74990.0
calle de Velázquez,Nou Moles ,L'Olivereta,100.0,3,2,None,39.4736495,-0.4017813,107500.0
calle de Calarredes,Les Tendetes ,Campanar,73.0,3,1,None,39.4825033,-0.38454190000000005,66500.0
Carrera de la Fonteta de Sant Lluís,Fonteta de Sant Lluís ,Quatre Carreres,72.0,3,1,None,39.449060700000004,-0.368874,78000.0
