index,address,neighbourhood,district,sqft_surface,bedrooms,bathrooms,new_construction,price
19,calle del Padre Viñas,Orriols ,Rascanya,106.0,4,1,None,90.0
20,calle de Daroca,Orriols ,Rascanya,62.0,2,1,None,63.0
22,calle de Montesa,Favara ,Patraix,78.0,3,1,None,99.0
23,calle del Botánico,El Botànic ,Extramurs,60.0,2,1,None,110.0
25,Sant Marcel.Lí,Sant Marcel·lí ,Jesús,91.0,3,2,None,129.0
27,calle de José Zaragoza,Favara ,Patraix,73.0,3,1,None,69.5
28,calle Peris Celda,Ciutat Fallera ,Benicalap,97.0,3,1,None,103.0
1,calle Actor y Cantante Ovidi Montllor y Mengual,Camí Real ,Jesús,110.0,4,2,None,120.0
3,Cabañal,El Cabanyal-El Canyamelar ,Poblats Marítims,100.0,3,1,None,115.0
4,Avinguda del General Avilés,Benicalap ,Benicalap,88.0,3,1,None,102.0
6,Carrer Illes Canàries,Gran Via ,L'Eixample,90.0,3,2,None,109.0
9,calle de Molina de Segura,Tres Forques ,L'Olivereta,82.0,3,1,None,76.5
10,Avinguda del Doctor Ruiz y Comes,El Saler ,Pobles del Sud,105.0,3,1,None,100.0
12,calle de Jerónimo de Monsoriu,Aiora ,Camins al Grau,63.0,3,1,None,115.0
14,calle de Palma de Gandía,Benifaraig ,Pobles del Nord,94.0,3,2,None,98.0
15,calle de Planas,En Corts ,Quatre Carreres,66.0,1,1,None,87.0
18,calle Dr Lluch,El Cabanyal-El Canyamelar ,Poblats Marítims,63.0,1,1,None,126.0
20,calle del Médico Esteve,La Raiosa ,Jesús,85.0,4,1,None,109.5
22,Sant Marcel.Lí,Sant Marcel·lí ,Jesús,3.0,1,1,None,85.0
23,calle Francisco Baldoma,El Cabanyal-El Canyamelar ,Poblats Marítims,63.0,3,1,None,95.0
24,calle de Velázquez,Nou Moles ,L'Olivereta,123.0,4,2,None,124.0
26,calle del Maestro Alberto Luz,Benimàmet ,Pobles de l'Oest,90.0,5,2,None,75.0
27,calle Pedro Patricio Mey,Torrefiel ,Rascanya,85.0,2,1,None,99.0
29,calle de Escalante,El Cabanyal-El Canyamelar ,Poblats Marítims,45.0,2,1,None,83.0
0,En Corts,La Punta ,Quatre Carreres,110.0,3,1,None,109.0
2,Carrer Illes Canàries,El Grau ,Poblats Marítims,102.0,4,1,None,125.0
4,Avinguda de Joan XXIII,Benicalap ,Benicalap,81.0,3,1,None,130.0
5,Carrer de Jerónima Galés 'Impressora,L'Hort de Senabre ,Jesús,77.0,4,1,None,99.9
6,Carrer de Sant Joan Bosco,Orriols ,Rascanya,65.0,2,1,None,37.5
7,Sant Marcel.Lí,La Creu Coberta ,Jesús,72.0,3,1,None,69.0
8,calle de Ángel Villena,Ciutat de les Arts i de les Ciències ,Quatre Carreres,108.0,3,2,None,129.0
9,calle Dr Waksman,En Corts ,Quatre Carreres,90.0,2,1,None,114.0
10,Avenida San Juan de La Peña,Orriols ,Rascanya,75.0,1,1,None,58.5
12,calle del Marino Albesa,Beteró ,Poblats Marítims,66.0,2,1,None,85.0
15,calle de Menorca,La Creu del Grau ,Camins al Grau,68.0,2,1,None,87.0
16,calle de Alabau,La Creu Coberta ,Jesús,102.0,3,2,None,85.0
18,calle de Daroca,Sant Antoni ,La Saïdia,70.0,2,1,None,64.5
20,calle de la Escotilla,El Perellonet ,Pobles del Sud,83.0,2,2,None,110.0
21,calle del Reverendo José Noguera,Sant Marcel·lí ,Jesús,101.0,3,2,None,132.0
23,Benimaclet,Beniferri ,Pobles de l'Oest,65.0,3,1,None,130.0
25,calle de Sollana,Na Rovella ,Quatre Carreres,90.0,3,1,None,92.0
26,calle de Conchita Piquer,El Calvari ,Campanar,60.0,2,1,None,85.0
28,calle de los Jurados,Tres Forques ,L'Olivereta,85.0,3,1,None,85.0
29,calle de la Reina,El Cabanyal-El Canyamelar ,Poblats Marítims,40.0,1,1,None,95.0
2,calle de Giménez y Costa,La Torre ,Pobles del Sud,103.0,2,2,None,110.5
3,calle de la Madera,Aiora ,Camins al Grau,65.0,3,1,None,65.0
4,Carrer del Periodista Gil Sumbiela,Benicalap ,Benicalap,102.0,3,1,None,125.0
7,calle del Conseller Francisco Bosch,La Fontsanta ,L'Olivereta,70.0,2,1,None,58.9
8,Avinguda de Burjasot,Marxalenes ,La Saïdia,73.0,3,1,None,117.0
9,Plaza Regino Mas,Ciutat Fallera ,Benicalap,74.0,2,1,None,56.5
10,calle de María de Molina,L'Hort de Senabre ,Jesús,87.0,3,1,None,95.9
11,Avinguda de Tres Forques,Tres Forques ,L'Olivereta,88.0,4,1,None,95.0
12,Sant Marcel·Lí,Sant Marcel·lí ,Jesús,95.0,3,2,None,130.0
17,calle de la Democracia,Nou Moles ,L'Olivereta,109.0,3,1,None,98.0
18,calle de Alcalá de Chivert,Camí Real ,Jesús,90.0,3,1,None,105.0
19,Extramurs ,La Petxina ,Extramurs,61.0,3,1,None,115.0
20,Carrer de Olimpia Arozena Torres 'Professora,Nou Moles ,L'Olivereta,87.0,4,1,None,99.0
21,calle de la Barraca,El Cabanyal-El Canyamelar ,Poblats Marítims,110.0,3,1,None,130.0
22,calle de La Gomera,La Malva-rosa ,Poblats Marítims,80.0,3,1,None,115.0
24,calle de Andrés Piles Ibars,Benicalap ,Benicalap,84.0,3,1,None,68.313
26,calle de Bello,El Grau ,Poblats Marítims,70.0,3,1,None,130.0
27,calle Castell de Benissano,Montolivet ,Quatre Carreres,58.0,2,1,None,70.0
29,Jesús,Favara ,Patraix,92.0,3,1,None,79.0
0,calle de Giménez y Costa,La Torre ,Pobles del Sud,123.0,3,2,None,124.5
1,calle de Menorca,La Creu del Grau ,Camins al Grau,68.0,2,1,None,90.0
2,Carrer del Picaio,Sant Francesc ,Ciutat Vella,73.0,3,1,None,75.0
3,Carrer de San Vicente Mártir,Sant Francesc ,Ciutat Vella,109.0,3,1,None,115.0
5,calle de la Escotilla,El Perellonet ,Pobles del Sud,74.0,3,2,None,76.0
6,calle de Vicente Brull,El Grau ,Poblats Marítims,61.0,2,1,None,90.0
7,Carrer de la República Argentina,L'Amistat ,Algirós,65.0,3,2,None,105.0
8,calle del Padre Viñas,Orriols ,Rascanya,75.0,2,1,None,59.9
9,Gran Vía,València Capital,None,70.0,1,2,None,120.0
10,calle de Mosén Fenollar,Patraix ,Patraix,91.0,3,1,None,99.0
11,calle de Felipe Rinaldi,Torrefiel ,Rascanya,85.0,3,1,None,65.0
13,calle del Castillo de Cullera,Faitanar ,Pobles del Sud,86.0,4,1,None,56.6
17,calle Ramón de Rocafull,El Cabanyal-El Canyamelar ,Poblats Marítims,64.0,3,1,None,79.0
19,calle del Médico Esteve,La Raiosa ,Jesús,89.0,3,1,None,109.5
21,Pasaje de Suay,Torrefiel ,Rascanya,61.0,3,1,None,49.9
22,Carrer del General Llorens,Benicalap ,Benicalap,58.0,2,1,None,69.0
23,calle del Micer Rabasa,La Raiosa ,Jesús,88.0,1,1,Obra nueva,129.9
24,calle del Doctor Nicasio Benlloch,Campanar ,Campanar,75.0,3,1,None,86.0
25,calle de Carrícola,L'Hort de Senabre ,Jesús,65.0,2,1,None,65.0
26,* A,Tres Forques ,L'Olivereta,90.0,3,1,None,88.0
