index,address,neighbourhood,district,sqft_surface,bedrooms,bathrooms,new_construction,price,latitude,longitude
28,calle Peris Celda,Ciutat Fallera ,Benicalap,97.0,3,1,None,103.0,39.4983442,-0.3944335
1,calle Actor y Cantante Ovidi Montllor y Mengual,Camí Real ,Jesús,110.0,4,2,None,120.0,None,None
3,Cabañal,El Cabanyal-El Canyamelar ,Poblats Marítims,100.0,3,1,None,115.0,39.4701544,-0.3323547
4,Avinguda del General Avilés,Benicalap ,Benicalap,88.0,3,1,None,102.0,39.487663,-0.3921058
6,Carrer Illes Canàries,Gran Via ,L'Eixample,90.0,3,2,None,109.0,None,None
9,calle de Molina de Segura,Tres Forques ,L'Olivereta,82.0,3,1,None,76.5,39.4680263,-0.4025148
10,Avinguda del Doctor Ruiz y Comes,El Saler ,Pobles del Sud,105.0,3,1,None,100.0,39.4238323,-0.3621953
12,calle de Jerónimo de Monsoriu,Aiora ,Camins al Grau,63.0,3,1,None,115.0,None,None
14,calle de Palma de Gandía,Benifaraig ,Pobles del Nord,94.0,3,2,None,98.0,39.5284524,-0.384261
15,calle de Planas,En Corts ,Quatre Carreres,66.0,1,1,None,87.0,39.4570166,-0.3704539
18,calle Dr Lluch,El Cabanyal-El Canyamelar ,Poblats Marítims,63.0,1,1,None,126.0,39.4684375,-0.328127
20,calle del Médico Esteve,La Raiosa ,Jesús,85.0,4,1,None,109.5,None,None
22,Sant Marcel.Lí,Sant Marcel·lí ,Jesús,3.0,1,1,None,85.0,None,None
23,calle Francisco Baldoma,El Cabanyal-El Canyamelar ,Poblats Marítims,63.0,3,1,None,95.0,39.4639745,-0.3336021
24,calle de Velázquez,Nou Moles ,L'Olivereta,123.0,4,2,None,124.0,39.4736495,-0.4017813
26,calle del Maestro Alberto Luz,Benimàmet ,Pobles de l'Oest,90.0,5,2,None,75.0,39.5028282,-0.4183619
27,calle Pedro Patricio Mey,Torrefiel ,Rascanya,85.0,2,1,None,99.0,39.4924092,-0.3778201
29,calle de Escalante,El Cabanyal-El Canyamelar ,Poblats Marítims,45.0,2,1,None,83.0,None,None
0,En Corts,La Punta ,Quatre Carreres,110.0,3,1,None,109.0,39.4569071,-0.3684821
