index,address,neighbourhood,district,sqft_surface,bedrooms,bathrooms,new_construction,price,latitude,longitude
7,calle del Ingeniero José Sirera,Sant Marcel·lí ,Jesús,91.0,3,1,None,115.0,None,None
14,calle Calixto Tercero,La Petxina ,Extramurs,86.0,3,1,None,109.0,None,None
15,calle de Juan Perpiñá,Sant Marcel·lí ,Jesús,53.0,2,1,None,88.0,None,None
16,calle de Juan Perpiñá,Sant Marcel·lí ,Jesús,72.0,2,1,None,54.0,None,None
19,Carrer del Archiduque Carlos,Sant Francesc ,Ciutat Vella,70.0,2,1,None,110.0,None,None
24,calle de la Alquería de Benimassot,Camí Real ,Jesús,102.0,3,2,None,124.1,None,None
1,calle del Padre Viñas,Orriols ,Rascanya,62.0,3,1,None,62.0,None,None
3,calle de Luis Lamarca,Nou Moles ,L'Olivereta,74.0,2,1,None,123.0,None,None
5,Avinguda de Burjasot,El Castellar-L'Oliveral ,Pobles del Sud,70.0,3,1,None,85.5,None,None
6,calle de Bello,El Grau ,Poblats Marítims,85.0,3,1,None,82.7,None,None
10,Ronda de Nazaret,Natzaret ,Poblats Marítims,93.0,3,1,None,103.9,None,None
11,calle del Arzobispo Company,El Cabanyal-El Canyamelar ,Poblats Marítims,99.0,2,1,None,119.0,None,None
13,calle Presen Saez Descatillar,Vara de Quart ,Patraix,80.0,3,2,None,80.0,None,None
16,calle de Felipe Salvador,Aiora ,Camins al Grau,70.0,3,1,None,75.0,None,None
22,calle de Bello,El Grau ,Poblats Marítims,80.0,3,1,None,130.0,None,None
23,Avenida Doctor Waskman,En Corts ,Quatre Carreres,70.0,2,1,None,125.0,None,None
29,calle de Andrés Piles Ibars,Benicalap ,Benicalap,83.0,3,1,None,68.313,None,None
5,calle Plaza Escultor Flechina,Favara ,Patraix,85.0,3,1,None,104.0,None,None
10,Avenida del Doctor Rafael Bartual,Sant Isidre ,Patraix,93.0,4,2,None,124.9,None,None
12,calle Mayor de Nazaret,Natzaret ,Poblats Marítims,60.0,2,1,None,59.9,None,None
13,Ciutat de Les Arts I de Les Ciències,Ciutat de les Arts i de les Ciències ,Quatre Carreres,75.0,2,1,None,115.0,None,None
16,calle del Doctor Lluch,Sant Francesc ,Ciutat Vella,63.0,1,1,None,126.0,None,None
27,Morvedre,El Carme ,Ciutat Vella,117.0,4,2,None,125.0,None,None
0,calle de Félix del Río 'Activista Vecinal,Torrefiel ,Rascanya,77.0,3,1,None,65.0,None,None
6,calle de San José de Pignatelli,Benicalap ,Benicalap,85.0,3,1,None,110.0,None,None
12,calle de Ador,Ciutat de les Arts i de les Ciències ,Quatre Carreres,99.0,4,1,None,89.0,None,None
18,calle del Timón,El Perellonet ,Pobles del Sud,92.0,3,2,None,89.0,None,None
19,calle de la Pelota,Beniferri ,Pobles de l'Oest,113.0,4,1,None,48.0,None,None
20,Avinguda de la Malva,La Malva-rosa ,Poblats Marítims,70.0,3,1,None,80.0,None,None
22,Puente de l'Assut de l'Or,El Grau ,Poblats Marítims,60.0,2,1,None,59.9,None,None
23,calle de los Rosales,Benicalap ,Benicalap,60.0,2,1,None,65.0,None,None
27,calle de las Columbretes,El Cabanyal-El Canyamelar ,Poblats Marítims,51.0,2,1,None,100.0,None,None
3,calle de Amadís de Gaula,Beteró ,Poblats Marítims,74.0,2,1,None,85.0,None,None
6,Carrer Illes Canàries,La Creu del Grau ,Camins al Grau,98.0,3,1,None,115.0,None,None
7,Plaza de la Iglesia de los Ángeles,El Cabanyal-El Canyamelar ,Poblats Marítims,65.0,3,1,None,130.0,None,None
8,calle de Jerónimo de Monsoriu,Aiora ,Camins al Grau,84.0,4,1,None,119.0,None,None
10,calle de L Arquebisbe Fabián I Fuero,Marxalenes ,La Saïdia,105.0,3,1,None,96.0,None,None
14,calle L`Example,Sant Francesc ,Ciutat Vella,400.0,9,4,None,90.0,None,None
16,calle de la Escotilla,El Perellonet ,Pobles del Sud,77.0,2,1,None,80.0,None,None
18,calle Pere Montsoriu,Beteró ,Poblats Marítims,85.0,3,1,None,99.0,None,None
19,calle del Músico Cabanilles,Sant Marcel·lí ,Jesús,71.0,2,1,None,85.0,None,None
20,calle Carrera Alba,La Torre ,Pobles del Sud,78.0,3,1,None,48.8,None,None
21,calle de Ángel Villena,Ciutat de les Arts i de les Ciències ,Quatre Carreres,96.0,3,2,None,129.0,None,None
0,calle de los Rosales,Benicalap ,Benicalap,77.0,3,1,None,65.0,None,None
3,calle Valle de Laguar,Les Tendetes ,Campanar,75.0,3,1,None,93.0,None,None
4,Carrer de Rubén Vela,Russafa ,L'Eixample,100.0,3,1,None,104.9,None,None
5,calle de Ángel Villena,Na Rovella ,Quatre Carreres,95.0,3,1,None,92.0,None,None
6,calle del Reverendo Rafael Tramoyeres,Benimaclet ,Benimaclet,80.0,2,2,None,130.0,None,None
