index,address,neighbourhood,district,sqft_surface,bedrooms,bathrooms,new_construction,price
19,Valencia,Sant Francesc ,Ciutat Vella,135.0,3,2,None,375.0
16,Patraix,Patraix ,Patraix,128.0,3,2,None,239.0
9,Patraix,Patraix ,Patraix,150.0,5,2,None,210.0
7,Valencia,Arrancapins ,Extramurs,118.0,3,1,None,285.0
5,Benimaclet,Benimaclet ,Benimaclet,53.0,1,1,None,174.9
2,Campanar,Campanar ,Campanar,110.0,2,2,None,198.0
29,Valencia,La Punta ,Quatre Carreres,58.0,1,1,None,160.0
17,Valencia,La Xerea ,Ciutat Vella,62.0,1,1,None,215.0
6,Patraix,Patraix ,Patraix,122.0,2,1,None,185.0
1,Valencia,Trinitat ,La Saïdia,64.0,2,1,None,168.0
27,Patraix,Patraix ,Patraix,122.0,2,1,None,185.0
24,Campanar,Campanar ,Campanar,60.0,2,1,None,148.0
22,Benicalap,Benicalap ,Benicalap,55.0,2,1,None,165.0
13,Campanar,Campanar ,Campanar,110.0,4,2,None,220.0
10,Valencia,Penya-roja ,Camins al Grau,67.0,1,1,None,223.0
9,Benicalap,Benicalap ,Benicalap,71.0,2,2,None,165.0
3,Benimaclet,Benimaclet ,Benimaclet,53.0,1,1,None,174.9
0,Valencia,El Cabanyal-El Canyamelar ,Poblats Marítims,50.0,2,1,None,175.0
24,Patraix,Patraix ,Patraix,80.0,2,1,None,149.0
22,Campanar,Campanar ,Campanar,60.0,2,1,None,148.0
15,Patraix,Patraix ,Patraix,94.0,3,2,None,170.0
12,Benimaclet,Benimaclet ,Benimaclet,53.0,1,1,None,174.9
11,Campanar,Campanar ,Campanar,110.0,2,2,None,198.0
8,Benimaclet,Benimaclet ,Benimaclet,109.0,4,2,None,199.0
4,Benicalap,Benicalap ,Benicalap,93.0,2,2,None,198.0
28,Valencia,Beteró ,Poblats Marítims,103.0,1,1,None,152.298
20,Benicalap,Benicalap ,Benicalap,93.0,2,2,None,198.0
19,Benicalap,Benicalap ,Benicalap,70.0,3,1,None,140.0
17,Patraix,Patraix ,Patraix,80.0,2,1,None,149.0
12,Benicalap,Benicalap ,Benicalap,56.0,1,1,None,129.9
1,Benicalap,Benicalap ,Benicalap,91.0,2,2,None,224.89
22,Benicalap,Benicalap ,Benicalap,71.0,2,2,None,165.0
19,Benicalap,Benicalap ,Benicalap,66.0,2,1,None,125.0
1,Benicalap,Benicalap ,Benicalap,108.0,3,2,None,137.0
27,Benicalap,Benicalap ,Benicalap,56.0,1,1,None,129.9
13,Benicalap,Benicalap ,Benicalap,85.0,2,2,None,165.0
8,Campanar,Campanar ,Campanar,110.0,4,2,None,220.0
26,Campanar,Campanar ,Campanar,110.0,2,2,None,198.0
21,Benicalap,Benicalap ,Benicalap,55.0,2,1,None,165.0
9,Patraix,Patraix ,Patraix,94.0,3,2,None,170.0
6,Benicalap,Benicalap ,Benicalap,79.0,2,1,None,137.98
29,Benicalap,Benicalap ,Benicalap,93.0,2,2,None,198.0
19,Patraix,Patraix ,Patraix,67.0,2,1,None,120.0
0,Valencia,El Perellonet ,Pobles del Sud,81.0,3,1,None,128.3
20,Algirós,L'Amistat ,Algirós,101.0,3,1,None,210.0
26,Ciutat Vella,La Xerea ,Ciutat Vella,76.0,2,1,None,200.0
18,Patraix,Patraix ,Patraix,67.0,2,1,None,120.0
15,Patraix,Patraix ,Patraix,160.0,3,2,None,198.0
11,Valencia,El Mercat ,Ciutat Vella,46.0,2,2,None,184.157
21,Pobles del Sud,La Torre ,Pobles del Sud,90.0,2,2,None,145.0
19,Patraix,Patraix ,Patraix,90.0,2,1,None,196.0
8,Patraix,Patraix ,Patraix,75.0,2,1,None,149.0
6,Patraix,Patraix ,Patraix,75.0,2,1,None,120.0
4,Quatre Carreres,Fonteta de Sant Lluís ,Quatre Carreres,120.0,3,2,None,144.9
1,Patraix,Patraix ,Patraix,105.0,3,1,None,130.0
0,Patraix,Patraix ,Patraix,129.0,3,2,None,173.3
27,Olivereta,Nou Moles ,L'Olivereta,122.0,4,2,None,185.0
24,Patraix,Vara de Quart ,Patraix,138.0,4,2,None,175.0
23,V,El Cabanyal-El Canyamelar ,Poblats Marítims,55.0,2,1,None,180.0
22,V,La Malva-rosa ,Poblats Marítims,116.0,4,2,None,180.0
