index,address,neighbourhood,district,sqft_surface,bedrooms,bathrooms,new_construction,price,latitude,longitude
26,Eixample,Russafa ,L'Eixample,160.0,5,2,None,298.0,39.4615201,-0.3725595
15,Eixample,Russafa ,L'Eixample,96.0,2,1,None,250.0,39.4615201,-0.3725595
9,Eixample,El Pla del Remei ,L'Eixample,130.0,4,2,None,349.0,39.4680141,-0.3705643
8,Eixample,Russafa ,L'Eixample,116.0,4,2,None,250.0,39.4615201,-0.3725595
5,Olivereta,Nou Moles ,L'Olivereta,149.0,3,2,None,240.0,39.4706037,-0.4023486
27,Patraix,Patraix ,Patraix,180.0,4,3,None,240.0,39.4600547,-0.3932433
23,Eixample,Russafa ,L'Eixample,129.0,5,2,None,375.0,39.4615201,-0.3725595
18,Patraix,Patraix ,Patraix,156.0,3,2,None,236.0,39.4600547,-0.3932433
17,Ciutat Vella,La Xerea ,Ciutat Vella,90.0,3,2,None,237.0,39.4746544,-0.3721794
25,V,L'Amistat ,Algirós,102.0,3,2,None,210.0,39.474305,-0.3522144
24,V,La Petxina ,Extramurs,187.0,6,2,None,280.0,39.4732871,-0.3915983
23,V,Campanar ,Campanar,90.0,3,2,None,310.0,39.4830398,-0.4006583
22,V,El Cabanyal-El Canyamelar ,Poblats Marítims,92.0,3,2,None,390.0,39.4701544,-0.3323547
19,V,El Mercat ,Ciutat Vella,60.0,2,1,None,260.0,39.4738165,-0.3778455
18,V,L'Amistat ,Algirós,112.0,3,2,None,255.0,39.474305,-0.3522144
14,V,L'Amistat ,Algirós,112.0,3,2,None,255.0,39.474305,-0.3522144
13,Patraix,Patraix ,Patraix,162.0,5,2,None,265.0,39.4600547,-0.3932433
12,Patraix,Patraix ,Patraix,95.0,3,2,None,225.0,39.4600547,-0.3932433
10,V,El Mercat ,Ciutat Vella,60.0,2,1,None,260.0,39.4738165,-0.3778455
9,V,La Petxina ,Extramurs,130.0,5,2,None,255.0,39.4732871,-0.3915983
7,V,Campanar ,Campanar,114.0,4,2,None,220.0,39.4830398,-0.4006583
6,V,L'Amistat ,Algirós,102.0,3,2,None,210.0,39.474305,-0.3522144
5,V,Benicalap ,Benicalap,124.0,3,2,None,249.0,39.4910435,-0.3895204
2,V,Nou Moles ,L'Olivereta,148.0,3,2,None,265.0,39.4706037,-0.4023486
1,V,Campanar ,Campanar,119.0,4,2,None,220.0,39.4830398,-0.4006583
28,V,Russafa ,L'Eixample,165.0,4,2,None,285.0,39.4615201,-0.3725595
27,V,Russafa ,L'Eixample,100.0,3,2,None,279.99,39.4615201,-0.3725595
25,V,El Cabanyal-El Canyamelar ,Poblats Marítims,92.0,3,2,None,390.0,39.4701544,-0.3323547
24,V,El Mercat ,Ciutat Vella,75.0,1,1,None,215.0,39.4738165,-0.3778455
20,V,El Mercat ,Ciutat Vella,75.0,1,1,None,215.0,39.4738165,-0.3778455
19,V,Benimaclet ,Benimaclet,110.0,4,2,None,220.0,39.487148,-0.3566225
15,V,Campanar ,Campanar,90.0,3,2,None,310.0,39.4830398,-0.4006583
12,V,El Mercat ,Ciutat Vella,95.0,4,1,None,274.0,39.4738165,-0.3778455
9,V,L'Amistat ,Algirós,109.0,2,2,None,290.0,39.474305,-0.3522144
8,V,L'Amistat ,Algirós,109.0,2,2,None,290.0,39.474305,-0.3522144
7,Eixample,Russafa ,L'Eixample,125.0,4,2,None,255.0,39.4615201,-0.3725595
6,Extramurs,La Petxina ,Extramurs,151.0,4,2,None,290.0,39.4732871,-0.3915983
4,V,Tres Forques ,L'Olivereta,101.0,3,2,None,229.0,39.4654122,-0.4024209
3,V,El Mercat ,Ciutat Vella,99.0,2,1,None,265.0,39.4738165,-0.3778455
29,V,La Petxina ,Extramurs,78.0,2,1,None,223.0,39.4732871,-0.3915983
26,V,La Petxina ,Extramurs,101.0,3,2,None,230.0,39.4732871,-0.3915983
25,V,El Mercat ,Ciutat Vella,101.0,3,2,None,249.5,39.4738165,-0.3778455
20,V,Nou Moles ,L'Olivereta,158.0,3,2,None,320.0,39.4706037,-0.4023486
